material_id,mean_AtomicWeight,mean_CovalentRadius,mean_Electronegativity,mean_MeltingT,mean_Row,mean_Column,mean_NsValence,mean_NpValence,mean_NdValence,range_CovalentRadius,range_Electronegativity,avgdev_Electronegativity,formation_energy_per_atom
Li3N,8.7074,113.75,1.495,356.03,2.0,4.5,1.25,0.75,0.0,57.0,2.06,0.7725,-0.437
GaN,41.8648,96.5,2.425,182.98,3.0,14.0,2.0,2.0,5.0,51.0,1.23,0.615,-0.868
ZnCr2O4,33.3385,94.8571,2.6757,753.1257,2.8571,12.5714,1.7143,2.2857,2.8571,73.0,1.79,0.8735,-2.403
LiNiPO4,22.9437,89.0,2.6914,388.3129,2.4286,12.8571,1.8571,2.7143,1.1429,62.0,2.46,0.8555,-2.407
FeO,35.9222,99.0,2.635,932.9,3.0,12.0,2.0,2.0,3.0,66.0,1.61,0.805,-1.684
ScCl3,37.8287,119.0,2.71,582.2,3.25,13.5,2.0,3.75,0.25,68.0,1.8,0.675,-2.65
Mg2Sn,55.7733,140.3333,1.5267,783.6933,3.6667,6.0,2.0,0.6667,3.3333,2.0,0.65,0.2889,-0.147
AlAs,50.9516,120.0,1.895,1011.735,3.5,14.0,2.0,2.0,5.0,2.0,0.57,0.285,-0.419
Nb3Sn,99.3573,157.75,1.69,2188.77,5.0,7.25,1.25,0.5,5.5,25.0,0.36,0.135,-0.107
CsPbBr3,115.9635,150.0,2.4,339.92,4.8,13.2,1.8,3.4,8.0,124.0,2.17,0.672,-1.688
CrF3,27.2478,77.5,3.4,585.125,2.5,14.25,1.75,3.75,1.25,82.0,2.32,0.87,-2.724
CaF2,26.0249,96.6667,2.9867,407.3333,2.6667,12.0,2.0,3.3333,0.0,119.0,2.98,1.3244,-4.008
NaCl,29.2214,134.0,2.045,271.235,3.0,9.0,1.5,2.5,0.0,64.0,2.23,1.115,-2.09
MnS,43.5015,122.0,2.065,953.68,3.5,11.5,2.0,2.0,2.5,34.0,1.03,0.515,-1.273
In2S3,65.1662,119.8,2.26,404.916,3.8,14.8,2.0,2.8,4.0,37.0,0.8,0.384,-0.776
LaFeO3,48.5497,107.4,2.65,633.68,3.2,11.8,2.0,2.4,1.4,141.0,2.34,0.948,-2.763
Bi2Se3,130.9682,131.2,2.338,514.16,4.8,15.6,2.0,3.6,10.0,28.0,0.53,0.2544,-0.393
NaAlH4,9.0005,68.5,1.89,226.73,1.6667,3.0,1.1667,0.1667,0.0,135.0,1.27,0.4133,-0.43
Mn3O4,32.6874,97.2857,2.63,682.3143,2.8571,12.1429,2.0,2.2857,2.1429,73.0,1.89,0.9257,-2.222
AlP,28.9777,114.0,1.9,625.385,3.0,14.0,2.0,2.0,0.0,14.0,0.58,0.29,-0.577
VC,31.4761,114.5,2.09,3003.0,3.0,9.5,2.0,1.0,1.5,77.0,0.92,0.46,-0.49
ZnS,48.7225,113.5,2.115,540.52,3.5,14.0,2.0,2.0,5.0,17.0,0.93,0.465,-1.018
AgInS2,71.704,124.25,2.2175,610.35,4.0,14.0,1.75,2.25,5.0,40.0,0.8,0.3625,-0.635
CoS,45.4991,115.5,2.23,1078.18,3.5,12.5,2.0,2.0,3.5,21.0,0.7,0.35,-0.561
